tree_order,H1,H2,H3,nABBA,nBABA,Dstat,jackEst,SE,Z,pval,pbon
8,PA-3C,a4003,AS-TAN16-03-01,9914,11731,0.08394548,-0.08394548,0.008216277,-10.21697,1.66E-24,9.09E-22
8,PA-3C,a4003,ZAM15-05-10,10090,11941,0.08401797,-0.08401797,0.008097048,-10.37637,3.18E-25,1.73E-22
8,PA-3C,a4003,AS-ZAM15-03-03,9763,11655,0.08833691,-0.08833691,0.008032162,-10.9979,3.91E-28,2.14E-25
8,PA-3C,a4003,ZAM17-01-1_7,10005,11948,0.08850727,-0.08850727,0.008090061,-10.94025,7.40E-28,4.04E-25
8,PA-3C,a4003,ZAM17-23-05,9743,11682,0.09050175,-0.09050175,0.008426987,-10.73951,6.64E-27,3.63E-24
8,PA-3C,a4003,AS-ZAM15-07-19,9478,11370,0.09075211,-0.09075211,0.008375172,-10.83585,2.33E-27,1.27E-24
8,PA-3C,a4003,ZAM17-05-03,9722,11681,0.09152922,-0.09152922,0.008499654,-10.76858,4.84E-27,2.64E-24
4,PA-3C,a4006,AS-TAN16-03-01,11761,13578,0.07170764,-0.07170764,0.007418167,-9.66649,4.18E-22,2.28E-19
4,PA-3C,a4006,ZAM17-01-1_7,11814,13738,0.07529743,-0.07529743,0.007145582,-10.53762,5.79E-26,3.16E-23
4,PA-3C,a4006,ZAM15-05-10,11862,13827,0.07649188,-0.07649188,0.007351407,-10.40507,2.35E-25,1.28E-22
4,PA-3C,a4006,AS-ZAM15-03-03,11485,13401,0.07699108,-0.07699108,0.00692146,-11.12353,9.64E-29,5.26E-26
4,PA-3C,a4006,AS-ZAM15-07-19,11180,13080,0.07831822,-0.07831822,0.006796342,-11.52358,1.00E-30,5.48E-28
4,PA-3C,a4006,ZAM17-05-03,11370,13445,0.08361878,-0.08361878,0.007114538,-11.75323,6.80E-32,3.71E-29
4,PA-3C,a4006,ZAM17-23-05,11418,13524,0.08443589,-0.08443589,0.007024093,-12.0209,2.76E-33,1.51E-30
6,PA-3C,Asem-PA1,AS-ZAM15-03-03,9203,9907,0.03683935,-0.03683935,0.007812404,-4.715495,2.41E-06,0.001316536
6,PA-3C,Asem-PA1,AS-ZAM15-07-19,8972,9702,0.03909179,-0.03909179,0.008128902,-4.808987,1.52E-06,0.000828266
6,PA-3C,Asem-PA1,ZAM17-05-03,9151,9951,0.04188043,-0.04188043,0.008081869,-5.182023,2.19E-07,0.000119843
6,PA-3C,Asem-PA1,ZAM17-23-05,9152,9998,0.04417755,-0.04417755,0.008210293,-5.380751,7.42E-08,4.05E-05
6,PA-3C,Asem-PA1,ZAM17-01-1_7,9425,10311,0.04489258,-0.04489258,0.008285598,-5.418146,6.02E-08,3.29E-05
6,PA-3C,Asem-PA1,ZAM15-05-10,9439,10343,0.04569811,-0.04569811,0.008263864,-5.529872,3.20E-08,1.75E-05
6,PA-3C,Asem-PA1,AS-TAN16-03-01,9364,10270,0.04614444,-0.04614444,0.008332086,-5.538162,3.06E-08,1.67E-05
7,PA-3C,AS-TAN16-01-51,ZAM17-01-1_7,15725,17090,0.04159683,-0.04159683,0.006610086,-6.292933,3.12E-10,1.70E-07
7,PA-3C,AS-TAN16-01-51,ZAM17-23-05,15271,16645,0.04305051,-0.04305051,0.006669334,-6.454993,1.08E-10,5.91E-08
7,PA-3C,AS-TAN16-01-51,ZAM17-05-03,15143,16559,0.04466595,-0.04466595,0.006659622,-6.70698,1.99E-11,1.08E-08
7,PA-3C,AS-TAN16-01-51,AS-ZAM15-07-19,14870,16328,0.04673376,-0.04673376,0.006448081,-7.247701,4.24E-13,2.31E-10
7,PA-3C,AS-TAN16-01-51,ZAM15-05-10,15773,17330,0.04703501,-0.04703501,0.006610747,-7.114931,1.12E-12,6.11E-10
7,PA-3C,AS-TAN16-01-51,AS-TAN16-03-01,15445,17016,0.04839654,-0.04839654,0.00670699,-7.215836,5.36E-13,2.93E-10
7,PA-3C,AS-TAN16-01-51,AS-ZAM15-03-03,15253,16826,0.04903519,-0.04903519,0.006289214,-7.796713,6.35E-15,3.47E-12
3,PA-3C,JKO-01-02,ZAM17-23-05,15062,16859,0.05629523,-0.05629523,0.006747341,-8.343321,7.22E-17,3.94E-14
3,PA-3C,JKO-01-02,AS-TAN16-03-01,15261,17087,0.05644862,-0.05644862,0.006773099,-8.334239,7.80E-17,4.26E-14
3,PA-3C,JKO-01-02,AS-ZAM15-07-19,14583,16328,0.0564524,-0.0564524,0.006648638,-8.490822,2.05E-17,1.12E-14
3,PA-3C,JKO-01-02,AS-ZAM15-03-03,14975,16772,0.05660377,-0.05660377,0.006432314,-8.799908,1.37E-18,7.48E-16
3,PA-3C,JKO-01-02,ZAM15-05-10,15548,17477,0.0584103,-0.0584103,0.006666196,-8.762163,1.92E-18,1.05E-15
3,PA-3C,JKO-01-02,ZAM17-01-1_7,15457,17388,0.05879129,-0.05879129,0.006365577,-9.235816,2.56E-20,1.40E-17
3,PA-3C,JKO-01-02,ZAM17-05-03,14934,16801,0.05883094,-0.05883094,0.006784487,-8.671392,4.27E-18,2.33E-15
10,PA-3C,MRL48,ZAM17-01-1_7,10319,10519,0.00959785,-0.00959785,0.008286447,-1.158259,0.246758358,1
10,PA-3C,MRL48,ZAM17-05-03,9805,10031,0.01139343,-0.01139343,0.008465014,-1.345943,0.1783209,1
10,PA-3C,MRL48,ZAM17-23-05,9940,10181,0.01197754,-0.01197754,0.008140126,-1.471419,0.141177838,1
10,PA-3C,MRL48,AS-ZAM15-07-19,9534,9767,0.01207191,-0.01207191,0.00804437,-1.500666,0.133441971,1
10,PA-3C,MRL48,ZAM15-05-10,10427,10686,0.01226732,-0.01226732,0.008517307,-1.440282,0.149787632,1
10,PA-3C,MRL48,AS-TAN16-03-01,10163,10477,0.01521318,-0.01521318,0.007855762,-1.936563,0.052798784,1
10,PA-3C,MRL48,AS-ZAM15-03-03,9905,10228,0.01604331,-0.01604331,0.007787502,-2.060136,0.039385541,1
1,PA-3C,ZAM17-20-04,AS-ZAM15-03-03,17451,16301,0.03407205,0.03407205,0.006387549,5.334136,9.60E-08,5.24E-05
1,PA-3C,ZAM17-20-04,AS-ZAM15-07-19,16989,15761,0.03749618,0.03749618,0.006477703,5.7885,7.10E-09,3.88E-06
1,PA-3C,ZAM17-20-04,ZAM17-23-05,17597,16270,0.03918269,0.03918269,0.006498084,6.029882,1.64E-09,8.96E-07
1,PA-3C,ZAM17-20-04,ZAM15-05-10,18242,16842,0.03990423,0.03990423,0.006512626,6.12721,8.94E-10,4.88E-07
1,PA-3C,ZAM17-20-04,AS-TAN16-03-01,17861,16451,0.04109349,0.04109349,0.006653876,6.175873,6.58E-10,3.59E-07
1,PA-3C,ZAM17-20-04,ZAM17-05-03,17489,16060,0.04259441,0.04259441,0.00640138,6.653942,2.85E-11,1.56E-08
1,PA-3C,ZAM17-20-04,ZAM17-01-1_7,18168,16678,0.04275957,0.04275957,0.006678601,6.402475,1.53E-10,8.35E-08
12,PA-3C,ZAM19-30-17,ZAM17-05-03,13996,13405,0.02156856,0.02156856,0.007119032,3.029703,0.002447943,1
12,PA-3C,ZAM19-30-17,AS-ZAM15-07-19,13565,12987,0.02176861,0.02176861,0.007047404,3.088883,0.002009105,1
12,PA-3C,ZAM19-30-17,ZAM17-23-05,14056,13436,0.02255202,0.02255202,0.006692737,3.369625,0.000752705,0.410977163
12,PA-3C,ZAM19-30-17,AS-TAN16-03-01,14284,13631,0.02339244,0.02339244,0.00717875,3.258568,0.00111976,0.611389163
12,PA-3C,ZAM19-30-17,AS-ZAM15-03-03,14100,13448,0.02366778,0.02366778,0.006745513,3.50867,0.000450353,0.24589291
12,PA-3C,ZAM19-30-17,ZAM15-05-10,14669,13959,0.02480089,0.02480089,0.00697538,3.55549,0.000377275,0.205992311
12,PA-3C,ZAM19-30-17,ZAM17-01-1_7,14695,13837,0.0300715,0.0300715,0.007236446,4.155562,3.24E-05,0.017717096
2,PA-3C,ZAM-19-33-01,AS-TAN16-03-01,14375,13659,0.02554042,0.02554042,0.00687378,3.715629,0.000202699,0.110673554
2,PA-3C,ZAM-19-33-01,ZAM17-01-1_7,14584,13850,0.02581417,0.02581417,0.006938149,3.720613,0.00019874,0.108511926
2,PA-3C,ZAM-19-33-01,ZAM17-05-03,14055,13299,0.02763764,0.02763764,0.007044772,3.923142,8.74E-05,0.047721274
2,PA-3C,ZAM-19-33-01,ZAM15-05-10,14679,13854,0.02891389,0.02891389,0.006969053,4.148898,3.34E-05,0.018240747
2,PA-3C,ZAM-19-33-01,ZAM17-23-05,14204,13401,0.02908893,0.02908893,0.006810074,4.271456,1.94E-05,0.010603366
2,PA-3C,ZAM-19-33-01,AS-ZAM15-07-19,13869,13047,0.03053946,0.03053946,0.006672724,4.57676,4.72E-06,0.002578391
2,PA-3C,ZAM-19-33-01,AS-ZAM15-03-03,14294,13405,0.03209502,0.03209502,0.006892768,4.656333,3.22E-06,0.001757526
13,PA-3C,ZAM19-50-10,ZAM15-05-10,14318,13895,0.01499309,0.01499309,0.00677989,2.211406,0.027007735,1
