tree_order,H1,H2,H3,nABBA,nBABA,Dstat,jackEst,SE,Z,pval,pbon
1,a4003,ZAM17-20-04,MRL48,46359,42508,0.04333442,0.04333442,0.005494335,7.887109,3.09E-15,6.80E-13
1,a4003,ZAM17-20-04,PA-3C,24769,22601,0.04576736,0.04576736,0.006727172,6.803359,1.02E-11,2.25E-09
1,a4003,ZAM17-20-04,ZAM19-30-17,44997,39574,0.06412364,0.06412364,0.005710677,11.22873,2.95E-29,6.48E-27
1,a4003,ZAM17-20-04,ZAM19-50-10,44259,38854,0.06503194,0.06503194,0.005479208,11.86886,1.72E-32,3.78E-30
1,a4003,ZAM17-20-04,ZAM20-75-04,38981,34103,0.06674512,0.06674512,0.005750592,11.60665,3.81E-31,8.39E-29
2,a4003,ZAM-19-33-01,MRL48,45114,36149,0.1103208,0.1103208,0.005711128,19.31682,3.88E-83,8.53E-81
2,a4003,ZAM-19-33-01,PA-3C,24397,19887,0.1018427,0.1018427,0.006382602,15.95629,2.58E-57,5.67E-55
2,a4003,ZAM-19-33-01,ZAM19-30-17,40600,34794,0.07700878,0.07700878,0.006184072,12.45276,1.35E-35,2.97E-33
2,a4003,ZAM-19-33-01,ZAM19-50-10,40020,34433,0.07504063,0.07504063,0.005842471,12.84399,9.30E-38,2.05E-35
2,a4003,ZAM-19-33-01,ZAM20-75-04,39602,29889,0.1397735,0.1397735,0.006160942,22.68703,6.02E-114,1.32E-111
3,a4003,JKO-01-02,MRL48,52177,40773,0.1226896,0.1226896,0.006312085,19.43726,3.74E-84,8.22E-82
3,a4003,JKO-01-02,PA-3C,26465,22124,0.08934121,0.08934121,0.00669467,13.34512,1.26E-40,2.78E-38
3,a4003,JKO-01-02,ZAM19-30-17,47833,38403,0.1093511,0.1093511,0.006437346,16.98698,1.03E-64,2.26E-62
3,a4003,JKO-01-02,ZAM19-50-10,47050,37928,0.1073454,0.1073454,0.006312067,17.00638,7.37E-65,1.62E-62
3,a4003,JKO-01-02,ZAM20-75-04,42957,32972,0.1315044,0.1315044,0.006172056,21.30642,9.90E-101,2.18E-98
4,a4003,a4006,MRL48,37721,33923,0.05301212,0.05301212,0.006011527,8.81841,1.16E-18,2.55E-16
4,a4003,a4006,PA-3C,20571,18308,0.05820623,0.05820623,0.007299717,7.973765,1.54E-15,3.39E-13
4,a4003,a4006,ZAM19-30-17,35694,32319,0.04962287,0.04962287,0.006051232,8.200457,2.39E-16,5.27E-14
4,a4003,a4006,ZAM19-50-10,35162,31902,0.04861028,0.04861028,0.006109125,7.956996,1.76E-15,3.88E-13
4,a4003,a4006,ZAM20-75-04,32956,28395,0.07434272,0.07434272,0.006080992,12.22542,2.27E-34,5.00E-32
5,a4003,ZAM-20-74-15,MRL48,53264,37117,0.1786548,0.1786548,0.006942699,25.73276,5.03E-146,1.11E-143
5,a4003,ZAM-20-74-15,PA-3C,27174,19259,0.1704607,0.1704607,0.00727288,23.43785,1.76E-121,3.87E-119
