sample,group,bulb length,bulb width,stem width bottom,stem width top,stem length,rosette leaf,stem leaf,raceme,floret spacing,floret length,splitting stem,roots at nodes,growth form,sequenced,col,pch
JKO-01-01,C4,43.74,10.62,1.98,0.63,788.77,354.14,146.48,68.28,10.38,6.32,N,N,E,N,#63ACBE,16
JKO-01-02,erect,30.03,5.58,1.37,0.61,455.29,171.48,230.03,98.19,9.11,3.13,N,N,E,Y,#EE442F,16
JKO-01-03,C4,45,12,1.35,0.56,586.79,357.59,45.92,56.48,7.91,5.12,N,N,E,N,#63ACBE,16
JKO-01-04,erect,26.57,3.2,1.17,0.53,487.57,49.26,185.41,75.12,6.64,3.72,N,N,E,N,#EE442F,16
LO1_A,Int,62.36,10.58,3.36,0.76,785.23,53.7,164.36,139.07,9.75,4.92,N,N,E,N,#63ACBE,16
LO1_B,Int,57.43,16.48,3.05,0.76,711.27,79.28,207.91,152.42,10.15,4.52,N,N,E,N,#63ACBE,16
LO2_A,C4,75.63,19.13,1.91,0.94,832.6,356.01,130.33,86.63,11.91,4.36,N,N,E,N,#63ACBE,16
LO2_B,C4,56.5,14.65,1.88,0.76,736.8,237.2,75.25,69.16,8.96,4.33,N,N,E,N,#63ACBE,16
Lundgren_2015-1_A,decumbent,18.69,1.89,0.87,0.39,677.26,0,95.83,47.76,6.6,3.13,Y,N,D,N,#601A4A,17
Lundgren_2015-1_B,decumbent,12.64,1.59,0.83,0.41,498.12,11.76,75.28,89.97,7.33,3.2,Y,Y,D,N,#601A4A,17
Lundgren_2015-2-5,decumbent,16.25,1.01,1.12,0.4,335.66,47.14,56.75,48.63,4.58,2.92,Y,N,D,N,#601A4A,17
Lundgren_2015-3-3,decumbent,8.35,2.37,0.75,0.35,757.49,5.36,90.49,43.64,6.09,3.13,Y,Y,D,N,#601A4A,17
Lundgren_2015-4-12,decumbent,17.5,1.6,1.12,0.38,560.37,57.15,79.8,59.68,5.63,3.11,Y,N,D,Y,#601A4A,17
Lundgren_2015-4-13,decumbent,7.05,1.59,0.74,0.43,435.29,12.46,62.42,44.59,5.12,2.7,Y,Y,D,Y,#601A4A,17
Lundgren_2015-5_A,decumbent,16.45,0.9,0.79,0.4,553.44,76.69,98.11,64.69,5.95,3.12,Y,N,D,N,#601A4A,17
Lundgren_2015-5_B,decumbent,13.4,1.62,1.38,0.54,670.22,0,120.99,65.84,6.22,3.07,Y,N,D,N,#601A4A,17
TAN16_01,erect,48.12,8.85,1.55,0.53,729.02,169.87,25.4,80.16,8.01,3.46,N,N,E,Y,#EE442F,16
ZAM15_05,C4,74.41,14.46,2.08,0.84,775.24,247.95,138.91,102.24,13.78,4.28,N,N,E,N,#63ACBE,16
ZAM15-06,C4,42.93,13.18,1.33,0.63,608.64,260.49,50.48,50.81,9.56,5.29,N,N,E,N,#63ACBE,16
